eng,french
tom was barefoot,Tom était pieds nus
you have my mug,Vous avez ma tasse
they treat their employees well,Ils traitent bien leurs employés
where are my books,Où sont mes livres
you dont have to help me,Tu nas pas besoin de maider
i cant believe i never knew that,Je narrive pas à croire que je naie jamais su ça
ive got a lot of work to do,Jai beaucoup de travail à faire
i think this is mine,Je pense que cest le mien
dont your neighbors ever complain,Vos voisines ne se plaignentelles jamais
why did you guys break up,Pourquoi avezvous rompu les mecs
smoke was rising from the chimney,De la fumée sortait de la cheminée
i spent christmas with my family,Jai passé Noël en famille
that problem isnt important,Ce problème nest pas important
do you want to go shopping with me,Veuxtu venir faire des courses avec moi
she couldnt convince him to ask for a loan,Elle ne pourrait pas le convaincre de solliciter un prêt
he will make a business trip to london next week,Il ira en voyage daffaire à Londres la semaine prochaine
its starting to snow,Il commence à neiger
i want you to promise me something,Je veux que tu me promettes quelque chose
he was dressed in blue,Il était vêtu de bleu
she has many dogs,Elle a beaucoup de chiens
he bet two pounds on the horse,Il a parié deux livres sur le cheval
i have a craving for fresh fruit,Jai une envie irrésistible de fruits frais
he made a bet with her,Il a fait un pari avec elle
neither of them cares for strenuous sports,Aucun deux ne sintéresse aux sports éprouvants
he entered junior high school,Il est entré au collège
may i go first,Puisje y aller en premier
these arent my keys,Ce ne sont pas mes clés
she was homesick,Elle avait le mal du pays
tom is afraid of you,Tom a peur de toi
im glad you invited me to your party,Je suis contente que vous mayez invitée à la fête
he was intrigued,Il a été intrigué
that is all,Cest tout
i am not good at sports,Je suis mauvais en sport
i learned that when i was in high school,Jai appris ça quand jétais au lycée
have you ever fixed your car by yourself,Astu jamais toimême réparé ta voiture
im sorry to have bothered you,Je suis désolé de tavoir dérangé
tell tom that everyone is here,Dis à Tom que tout le monde est ici
i said that ages ago,Jai dit ça il y a des siècles
he gave it a new name,Il lui a donné un nouveau nom
i thought you said we werent going to complain anymore,Je pensais que tu avais dit que nous nallions plus nous plaindre
electronic components can be cleaned using pure isopropyl alcohol,Les composants électroniques peuvent être nettoyés en utilisant de lisopropanol pur
how many calories are in this dish,Combien y atil de calories dans ce plat
she was equal to the job,Elle était à la hauteur du boulot
toms delighted,Tom est ravi
i was completely shocked,Jétais totalement choquée
they begged us to help them,Ils nous ont suppliés de les aider
both of you be quiet,Taisezvous tous les deux
water please,De leau je vous prie
youre pretty,Tu es jolie
do you find me unattractive,Me trouvestu repoussant
i had a bad dream last night,Hier soir jai fait un cauchemar
can you say that again,Pouvezvous répéter cela
im sure youre busy,Je suis sûr que tu es occupé
youre the only one for me now,Tu es le seul pour moi maintenant
youre a very gifted artist,Vous êtes un artiste très doué
he said he would pay for the dinner,Il a dit quil paierait pour le dîner
it was a new experience for everyone,Cétait une nouvelle expérience pour tout le monde
lets review,Faisons le point
its time you went to bed turn off the radio,Il est lheure que tu ailles te coucher Coupe la radio
this pond doesnt go dry even in the summer,Cet étang ne sassèche pas même en été
can i have the paper when youre finished with it,Puisje avoir le journal une fois que tu en auras terminé
its better to err on the side of caution,Il vaut mieux pêcher par excès de prudence
he is old,Il est vieux
take no chances,Ne prends aucun risque
you didnt tell me tom smoked,Vous ne mavez pas dit que Tom fumait
the appeal was rejected,Lappel a été rejeté
are you envious,Êtesvous envieux
if possible id like to meet you tonight,Si possible jaimerais te voir ce soir
youre pessimistic,Tu es pessimiste
i dont know if you remember me but we met a couple of years ago in boston,Je ne sais pas si vous vous rappelez de moi mais nous nous sommes rencontrés il y a quelques années à Boston
do you remember seeing me before,Te rappellestu mavoir vu auparavant
our house is yours,Notre maison est la tienne
shes giving each child two apples,Elle donne à chaque enfant deux pommes
stop there,Arrêtetoi là
youre not bruised,Vous nêtes pas contusionnées
tom is lazier than mary,Tom est plus paresseux que Manon
i love to teach,Jadore enseigner
i dont want to discourage you from doing that,Je veux pas tempêcher de le faire
i know that tom is frightened,Je sais que Tom est effrayé
do you think thats enough,Estce que tu penses que cest suffisant
if theres anything i can do for you dont hesitate to let me know,Si je peux faire quelque chose pour toi nhésite pas à me le faire savoir
my friends dropped by to see me the day before yesterday,Avanthier mes amis sont passés me voir un moment
hows your wife,Comment se porte ta femme
this would be catastrophic,Ce serait catastrophique
thats just what i need right now,Cest précisément ce quil me faut à linstant
did i hear you talking to someone,Vous aije entendu parler à quelquun
tom reminded mary not to be late,Tom rappela à Mary de ne pas être en retard
beat it,Fous le camp
i need glue,Jai besoin de colle
the mailman comes around every three days,Le facteur passe par ici tous les trois jours
itll be hot,Il va faire chaud
its the wrong one,Cest le mauvais
they formed a circle,Ils se mirent en cercle
would you please turn on the tv,Peuxtu me faire le plaisir dallumer la télé
he was crying,Il pleurait
several houses were carried away by the great flood,De plusieurs maisons furent emportées par la crue
this has nothing to do with that,Ceci na rien à voir avec ça
i just said a very stupid thing,Je viens de dire une chose très stupide
i thought i saw something,Je pensais que javais vu quelque chose
i hate fireworks,Je déteste les feux dartifice
we count everything,Nous comptons tout
where were you for the whole afternoon,Où étiezvous toute laprèsmidi
how long will that be,Combien de temps cela dureratil
he judged it wiser to remain silent,Il jugea plus sage de rester silencieux
you dont need one now,Vous nen avez pas besoin dune maintenant
could we sit,Pourrionsnous nous asseoir
do you see the raccoon,Voyezvous le raton laveur
he speaks russian,Il parle russe
whatll you eat,Quallezvous manger
i want to join you,Je veux me joindre à vous
please dont tell anyone i was here,Sil te plait ne dis à personne que jétais là
dont tell me what to say,Ne me dicte pas ce que je dois dire
dont die,Ne meurs pas
im a new student,Je suis un nouvel étudiant
youre not very funny,Vous nêtes pas très amusant
thats quite a problem,Cest vraiment un problème
the more you study the more you discover your ignorance,Plus on étudie plus on découvre sa propre ignorance
i knew that tom was afraid,Je savais que Tom avait peur
you cant leave me,Tu ne peux pas me quitter
tom cant afford to retire,Tom ne peut pas se permettre de prendre sa retraite
we have little money available for the research,Nous avons peu dargent à disposition pour la recherche
this place is arguably the best restaurant in london,On dit que cet endroit est le meilleur restaurant de Londres
tom didnt want my help,Tom ne voulait pas de mon aide
that isnt what it means,Ce nest pas ce que ça veut dire
i prefer that it stay that way,Je préfère que ça reste ainsi
its cold,Il fait froid
i didnt need to paint the fence,Je neus pas besoin de peindre la palissade
i have several silver coins,Je possède plusieurs pièces dargent
i have my fingers crossed,Je croise les doigts
have a taste,Goûte
dont worry about it,Ne te fais pas de souci pour ça
help me,Aidemoi
she is not only pretty but also kind,Elle est non seulement belle mais aussi aimable
